month,calendar_year,sales,median_price_psm,naive_index,hedonic_index,hedonic_ci_low,hedonic_ci_high,is_year_end
2017-01,2017,1185,4294.0,100.0,100.0,100.0,100.0,False
2017-02,2017,1085,4322.0,100.6,99.3,98.4,100.2,False
2017-03,2017,1903,4331.0,100.9,100.2,99.4,101.0,False
2017-04,2017,1839,4299.0,100.1,99.9,99.1,100.7,False
2017-05,2017,1980,4270.0,99.4,99.5,98.8,100.3,False
2017-06,2017,1747,4293.0,100.0,99.8,99.0,100.7,False
2017-07,2017,1780,4243.0,98.8,99.4,98.6,100.2,False
2017-08,2017,1960,4280.0,99.7,99.2,98.4,100.0,False
2017-09,2017,1680,4278.0,99.6,99.1,98.3,99.9,False
2017-10,2017,1785,4269.0,99.4,99.3,98.5,100.1,False
2017-11,2017,1980,4254.0,99.1,99.3,98.5,100.2,False
2017-12,2017,1585,4252.0,99.0,98.8,98.0,99.6,True
2018-01,2018,1072,4286.0,99.8,98.8,97.8,99.7,False
2018-02,2018,1183,4245.0,98.8,98.1,97.2,99.0,False
2018-03,2018,1881,4239.0,98.7,98.5,97.6,99.3,False
2018-04,2018,1838,4235.0,98.6,98.4,97.6,99.2,False
2018-05,2018,1740,4231.0,98.5,98.5,97.6,99.3,False
2018-06,2018,1975,4208.0,98.0,98.6,97.8,99.4,False
2018-07,2018,2539,4211.0,98.1,98.2,97.5,99.0,False
2018-08,2018,2067,4233.0,98.6,98.7,97.9,99.5,False
2018-09,2018,1985,4179.0,97.3,98.0,97.2,98.9,False
2018-10,2018,1992,4146.0,96.5,98.2,97.4,99.1,False
2018-11,2018,1866,4165.0,97.0,98.5,97.6,99.3,False
2018-12,2018,1423,4178.0,97.3,98.1,97.2,99.0,True
2019-01,2019,1550,4135.0,96.3,98.1,97.2,99.0,False
2019-02,2019,1304,4176.0,97.2,98.1,97.2,99.0,False
2019-03,2019,1653,4194.0,97.6,98.2,97.4,99.1,False
2019-04,2019,1915,4154.0,96.7,98.1,97.3,98.9,False
2019-05,2019,2070,4167.0,97.0,97.8,97.0,98.6,False
2019-06,2019,1884,4130.0,96.2,98.2,97.3,99.0,False
2019-07,2019,2114,4165.0,97.0,98.1,97.3,98.9,False
2019-08,2019,1902,4205.0,97.9,98.5,97.6,99.3,False
2019-09,2019,1830,4152.0,96.7,98.0,97.2,98.9,False
2019-10,2019,2206,4195.0,97.7,98.5,97.7,99.3,False
2019-11,2019,1910,4212.0,98.1,99.1,98.3,100.0,False
2019-12,2019,1848,4194.0,97.6,98.9,98.1,99.7,True
2020-01,2020,1911,4201.0,97.8,98.5,97.7,99.4,False
2020-02,2020,1661,4239.0,98.7,99.3,98.4,100.1,False
2020-03,2020,1937,4254.0,99.1,99.1,98.2,99.9,False
2020-04,2020,424,4233.0,98.6,98.5,97.3,99.8,False
2020-05,2020,363,4242.0,98.8,99.3,98.0,100.7,False
2020-06,2020,2438,4203.0,97.9,99.1,98.3,100.0,False
2020-07,2020,2456,4287.0,99.8,99.9,99.1,100.8,False
2020-08,2020,2426,4298.0,100.1,100.7,99.9,101.6,False
2020-09,2020,2482,4384.0,102.1,102.2,101.4,103.1,False
2020-10,2020,2427,4516.0,105.2,103.6,102.7,104.4,False
2020-11,2020,2322,4538.0,105.7,104.3,103.5,105.2,False
2020-12,2020,2486,4577.0,106.6,105.3,104.4,106.1,True
2021-01,2021,2491,4624.0,107.7,106.5,105.7,107.4,False
2021-02,2021,2160,4728.0,110.1,107.8,106.9,108.6,False
2021-03,2021,2443,4766.0,111.0,108.8,107.9,109.6,False
