town,region,is_mature_estate,sales,median_price_psm,model_effect_pct,model_ci_low_pct,model_ci_high_pct
CENTRAL AREA,Central,True,1866,7708.0,35.8,30.2,41.7
QUEENSTOWN,Central,True,6567,7532.0,25.1,23.5,26.7
BUKIT MERAH,Central,True,9134,6982.0,23.3,21.9,24.6
BUKIT TIMAH,Central,True,582,6788.0,37.2,34.1,40.4
BISHAN,Central,True,4174,6423.0,24.6,22.9,26.4
MARINE PARADE,Central,True,1458,6338.0,30.9,28.4,33.4
KALLANG/WHAMPOA,Central,True,7321,6277.0,14.8,13.4,16.2
TOA PAYOH,Central,True,7894,5793.0,14.4,12.6,16.3
CLEMENTI,West,True,5303,5791.0,12.9,11.2,14.6
PUNGGOL,North-East,False,17377,5737.0,-19.5,-20.2,-18.9
GEYLANG,Central,True,5964,5659.0,10.4,8.9,12.0
SERANGOON,North-East,True,4212,5635.0,11.5,10.3,12.7
TAMPINES,East,True,16649,5378.0,-2.2,-2.9,-1.6
BUKIT BATOK,West,False,10261,5342.0,-11.8,-12.3,-11.2
SENGKANG,North-East,False,19428,5311.0,-21.5,-22.2,-20.9
SEMBAWANG,North,False,7327,5294.0,-23.9,-24.6,-23.3
ANG MO KIO,North-East,True,9684,5279.0,4.3,3.3,5.4
HOUGANG,North-East,False,12120,5247.0,-6.2,-7.0,-5.4
BEDOK,East,True,12513,5163.0,1.9,1.1,2.7
JURONG EAST,West,False,4854,4925.0,-7.1,-8.2,-6.0
BUKIT PANJANG,West,False,8528,4925.0,-21.0,-21.9,-20.2
YISHUN,North,False,16296,4916.0,-12.9,-13.5,-12.3
PASIR RIS,East,True,6954,4904.0,-7.6,-8.2,-7.0
CHOA CHU KANG,West,False,10780,4712.0,-24.8,-25.3,-24.4
WOODLANDS,North,False,17103,4631.0,-22.4,-22.9,-21.9
JURONG WEST,West,False,15725,4591.0,-17.9,-18.5,-17.2
